Donation,$197.00 ,7,January,2023
Donation,$197.00 ,7,February,2023
Donation,$127.00 ,5,December,2023
Donation,$871.00 ,8,August,2023
Donation,$197.00 ,7,December,2022
Donation,$250.00 ,1,May,2021
Donation,$619.00 ,8,April,2023
Donation,$619.00 ,8,July,2023
Donation,$619.00 ,8,June,2023
Donation,$197.00 ,7,March,2023
Donation,$619.00 ,8,May,2023
Donation,$871.00 ,8,November,2023
Donation,$871.00 ,8,Octuber,2023
Donation,$871.00 ,8,September,2023
Donation,$499.00 ,16,April,2024
Donation,$499.00 ,16,August,2024
Donation,$499.00 ,16,December,2024
Donation,$127.00 ,5,February,2024
Donation,$127.00 ,5,January,2024
Donation,$499.00 ,16,July,2024
Donation,$499.00 ,16,June,2024
Donation,$127.00 ,5,March,2024
Donation,$499.00 ,16,May,2024
Donation,$499.00 ,16,November,2024
Donation,$499.00 ,16,Octuber,2024
Donation,$499.00 ,16,September,2024
Donation,$499.00 ,16,April,2025
Donation,$499.00 ,16,August,2025
Donation,"$1,729.00 ",36,December,2025
Donation,$499.00 ,16,February,2025
Donation,$499.00 ,16,January,2025
Donation,$499.00 ,16,July,2025
Donation,$499.00 ,16,June,2025
Donation,$499.00 ,16,March,2025
Donation,$499.00 ,16,May,2025
Donation,$499.00 ,16,November,2025
Donation,$499.00 ,16,Octuber,2025
Donation,$499.00 ,16,September,2025
Donation,"$1,729.00 ",36,February,2026
Donation,"$1,729.00 ",36,January,2026
membership Lifetime,$375.00 ,1,February,2021
membership Lifetime,$375.00 ,1,March,2021
membership renewal,$135.00 ,3,April,2021
VFW Lifetime (Paid In Full),$710.00 ,2,April,2024
VFW Lifetime (Paid In Full),$710.00 ,2,August,2024
VFW Lifetime (Paid In Full),$710.00 ,2,December,2024
VFW Lifetime (Paid In Full),$710.00 ,2,July,2024
VFW Lifetime (Paid In Full),$710.00 ,2,June,2024
VFW Lifetime (Paid In Full),$710.00 ,2,May,2024
VFW Lifetime (Paid In Full),$710.00 ,2,November,2024
VFW Lifetime (Paid In Full),$710.00 ,2,Octuber,2024
VFW Lifetime (Paid In Full),$710.00 ,2,September,2024
VFW Lifetime (Paid In Full),$710.00 ,2,April,2025
VFW Lifetime (Paid In Full),$710.00 ,2,August,2025
VFW Lifetime (Paid In Full),$710.00 ,2,February,2025
VFW Lifetime (Paid In Full),$710.00 ,2,January,2025
VFW Lifetime (Paid In Full),$710.00 ,2,July,2025
VFW Lifetime (Paid In Full),$710.00 ,2,June,2025
VFW Lifetime (Paid In Full),$710.00 ,2,March,2025
VFW Lifetime (Paid In Full),$710.00 ,2,May,2025
VFW Lifetime (Paid In Full),$710.00 ,2,November,2025
VFW Lifetime (Paid In Full),$710.00 ,2,Octuber,2025
VFW Lifetime (Paid In Full),$710.00 ,2,September,2025
VFW New Member Yearly,$90.00 ,2,January,2023
VFW New Member Yearly,$90.00 ,2,February,2023
VFW New Member Yearly,$90.00 ,2,December,2022
VFW New Member Yearly,$90.00 ,2,March,2023
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,April,2021
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,April,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,August,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,December,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,July,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,June,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,May,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,November,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,Octuber,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,September,2024
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,April,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,August,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,December,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,February,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,January,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,July,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,June,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,March,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,May,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,November,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,Octuber,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,September,2025
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,February,2026
VFW New Member/Yearly (Not Lifetime),$45.00 ,1,January,2026
